TimeCEST,TemperatureC,Dew PointC,Humidity,Sea Level PressurehPa,VisibilityKm,Wind Direction,Wind SpeedKm/h,Gust SpeedKm/h,Precipitationmm,Events,Conditions,WindDirDegrees,DateUTC
11:25 AM,13.0,6.0,63,1031,10.0,NE,18.5,-,N/A,,Overcast,50,2015-06-09 09:25:00
11:55 AM,12.0,6.0,67,1031,10.0,NNE,18.5,-,N/A,,Overcast,30,2015-06-09 09:55:00
12:00 PM,12,6,53,1032,30,NNE,21.6,,,,Partly Cloudy,30,2015-06-09 10:00:00
12:25 PM,12.0,6.0,67,1031,10.0,NNE,22.2,-,N/A,,Overcast,30,2015-06-09 10:25:00
12:55 PM,13.0,5.0,58,1031,10.0,NNE,22.2,-,N/A,,Overcast,30,2015-06-09 10:55:00
1:00 PM,13,5,49,1032,35,NE,21.6,,,,Partly Cloudy,40,2015-06-09 11:00:00
1:25 PM,13.0,6.0,63,1031,10.0,North,22.2,-,N/A,,Overcast,10,2015-06-09 11:25:00
1:55 PM,14.0,6.0,59,1031,10.0,NNE,22.2,-,N/A,,Overcast,20,2015-06-09 11:55:00
2:00 PM,13,6,50,1031,29,NNE,21.6,,,,Partly Cloudy,20,2015-06-09 12:00:00
2:25 PM,13.0,5.0,58,1031,10.0,North,24.1,-,N/A,,Overcast,10,2015-06-09 12:25:00
2:55 PM,14.0,6.0,59,1031,10.0,NNE,22.2,-,N/A,,Mostly Cloudy,20,2015-06-09 12:55:00
3:00 PM,14,5,45,1031,30,NNE,21.6,,,,Overcast,30,2015-06-09 13:00:00
3:25 PM,14.0,6.0,59,1031,10.0,NNE,24.1,-,N/A,,Overcast,30,2015-06-09 13:25:00
3:55 PM,14.0,6.0,59,1030,10.0,North,22.2,-,N/A,,Overcast,10,2015-06-09 13:55:00
4:00 PM,14,6,47,1031,24,NNE,21.6,,,,Overcast,20,2015-06-09 14:00:00
4:25 PM,14.0,6.0,59,1030,10.0,NNE,22.2,-,N/A,,Overcast,30,2015-06-09 14:25:00
4:55 PM,14.0,5.0,55,1030,10.0,NNE,20.4,-,N/A,,Overcast,20,2015-06-09 14:55:00
5:00 PM,13,6,49,1031,35,North,21.6,,,,Overcast,10,2015-06-09 15:00:00
5:25 PM,14.0,5.0,55,1030,10.0,NNE,22.2,-,N/A,,Overcast,20,2015-06-09 15:25:00
5:55 PM,13.0,5.0,58,1030,10.0,NNE,18.5,-,N/A,,Overcast,20,2015-06-09 15:55:00
6:00 PM,13,5,47,1030,30,NNE,21.6,,,,Overcast,20,2015-06-09 16:00:00
6:25 PM,13.0,5.0,58,1030,10.0,NNE,20.4,-,N/A,,Overcast,30,2015-06-09 16:25:00
6:55 PM,13.0,5.0,58,1030,10.0,NNE,18.5,-,N/A,,Overcast,30,2015-06-09 16:55:00
7:00 PM,13,5,46,1030,35,NE,18.0,,,,Overcast,40,2015-06-09 17:00:00
7:25 PM,13.0,5.0,58,1030,10.0,NNE,20.4,-,N/A,,Overcast,30,2015-06-09 17:25:00
